prediction_id,image_id,vlm_name,compression_type,compression_level,category,cer,wer,bleu,gt_length,pred_length,length_ratio,condition
471,76,qwen2-vl,jpeg,70.000000,medium_documents,0.000368,0.002941,0.993485,2719,2719,1.000000,jpeg_QF70.0
472,49,qwen2-vl,jpeg,70.000000,short_documents,0.000000,0.000000,1.000000,1063,1063,1.000000,jpeg_QF70.0
473,29,qwen2-vl,jpeg,70.000000,medium_documents,0.100990,0.105128,0.869012,2525,2298,0.910100,jpeg_QF70.0
474,20,qwen2-vl,jpeg,70.000000,medium_documents,0.000000,0.000000,1.000000,1764,1764,1.000000,jpeg_QF70.0
475,75,qwen2-vl,jpeg,70.000000,medium_documents,0.003161,0.020305,0.952295,2531,2531,1.000000,jpeg_QF70.0
476,113,qwen2-vl,jpeg,70.000000,short_documents,0.000901,0.005495,0.987421,1110,1110,1.000000,jpeg_QF70.0
477,45,qwen2-vl,jpeg,70.000000,medium_documents,0.000000,0.000000,1.000000,2270,2270,1.000000,jpeg_QF70.0
478,99,qwen2-vl,jpeg,70.000000,short_documents,0.389652,0.489051,0.564369,947,1120,1.182700,jpeg_QF70.0
479,39,qwen2-vl,jpeg,70.000000,medium_documents,0.044550,0.083969,0.857349,2110,2036,0.964900,jpeg_QF70.0
480,74,qwen2-vl,jpeg,70.000000,long_documents,0.008382,0.021526,0.965460,6442,6416,0.996000,jpeg_QF70.0
481,101,qwen2-vl,jpeg,70.000000,long_documents,0.001083,0.005587,0.987895,4618,4616,0.999600,jpeg_QF70.0
482,62,qwen2-vl,jpeg,70.000000,medium_documents,0.001395,0.004566,0.992772,2867,2864,0.999000,jpeg_QF70.0
483,19,qwen2-vl,jpeg,70.000000,medium_documents,0.547411,0.519231,0.673043,2974,2837,0.953900,jpeg_QF70.0
484,112,qwen2-vl,jpeg,70.000000,long_documents,0.000000,0.000000,1.000000,5350,5350,1.000000,jpeg_QF70.0
491,108,qwen2-vl,jpeg,70.000000,medium_documents,0.144858,0.288939,0.555021,2499,2202,0.881200,jpeg_QF70.0
485,89,qwen2-vl,jpeg,70.000000,medium_documents,0.000000,0.000000,1.000000,2672,2672,1.000000,jpeg_QF70.0
486,60,qwen2-vl,jpeg,70.000000,medium_documents,0.000000,0.000000,1.000000,2033,2033,1.000000,jpeg_QF70.0
487,85,qwen2-vl,jpeg,70.000000,medium_documents,0.038529,0.036832,0.992652,3426,3426,1.000000,jpeg_QF70.0
488,56,qwen2-vl,jpeg,70.000000,medium_documents,0.000000,0.000000,1.000000,1862,1862,1.000000,jpeg_QF70.0
489,71,qwen2-vl,jpeg,70.000000,short_documents,0.004591,0.005988,0.987988,1089,1084,0.995400,jpeg_QF70.0
490,102,qwen2-vl,jpeg,70.000000,short_documents,0.491713,0.491080,0.382787,16050,8172,0.509200,jpeg_QF70.0
492,23,qwen2-vl,jpeg,70.000000,medium_documents,0.132758,0.163174,0.822428,3706,3752,1.012400,jpeg_QF70.0
496,7,qwen2-vl,jpeg,70.000000,short_documents,0.051101,0.089474,0.904730,1135,1077,0.948900,jpeg_QF70.0
497,110,qwen2-vl,jpeg,70.000000,long_documents,0.000512,0.003055,0.993317,5863,5863,1.000000,jpeg_QF70.0
498,81,qwen2-vl,jpeg,70.000000,medium_documents,0.000770,0.004773,0.981169,2599,2599,1.000000,jpeg_QF70.0
499,24,qwen2-vl,jpeg,70.000000,medium_documents,0.098062,0.083019,0.989961,1754,1754,1.000000,jpeg_QF70.0
500,106,qwen2-vl,jpeg,70.000000,short_documents,0.000948,0.006410,0.987357,1055,1055,1.000000,jpeg_QF70.0
501,104,qwen2-vl,jpeg,90.000000,medium_documents,0.016220,0.022831,0.964665,2651,2616,0.986800,jpeg_QF90.0
502,96,qwen2-vl,jpeg,90.000000,medium_documents,0.000000,0.000000,1.000000,1952,1952,1.000000,jpeg_QF90.0
503,80,qwen2-vl,jpeg,90.000000,short_documents,0.009780,0.019417,0.970708,1636,1625,0.993300,jpeg_QF90.0
504,13,qwen2-vl,jpeg,90.000000,short_documents,0.520000,0.833333,0.461737,50,76,1.520000,jpeg_QF90.0
505,1,qwen2-vl,jpeg,90.000000,short_documents,0.001661,0.009615,0.979878,1204,1204,1.000000,jpeg_QF90.0
506,59,qwen2-vl,jpeg,90.000000,long_documents,0.001418,0.001362,0.997031,4938,4931,0.998600,jpeg_QF90.0
507,34,qwen2-vl,jpeg,90.000000,short_documents,0.009963,0.016667,0.972789,803,803,1.000000,jpeg_QF90.0
696,7,qwen2-vl,neural,1.000000,short_documents,0.122467,0.152632,0.812051,1135,1001,0.881900,neural_q1.0
508,41,qwen2-vl,jpeg,90.000000,medium_documents,0.000000,0.000000,1.000000,2197,2197,1.000000,jpeg_QF90.0
509,91,qwen2-vl,jpeg,90.000000,short_documents,0.000000,0.000000,1.000000,1355,1355,1.000000,jpeg_QF90.0
510,98,qwen2-vl,jpeg,90.000000,medium_documents,0.002419,0.003185,0.992893,2067,2072,1.002400,jpeg_QF90.0
511,2,qwen2-vl,jpeg,90.000000,long_documents,0.801092,0.792619,0.096468,3846,4413,1.147400,jpeg_QF90.0
512,64,qwen2-vl,jpeg,90.000000,medium_documents,0.000000,0.000000,1.000000,2264,2264,1.000000,jpeg_QF90.0
513,94,qwen2-vl,jpeg,90.000000,short_documents,0.000000,0.000000,1.000000,1055,1055,1.000000,jpeg_QF90.0
515,35,qwen2-vl,jpeg,90.000000,medium_documents,0.006692,0.008824,0.982960,2092,2078,0.993300,jpeg_QF90.0
516,25,qwen2-vl,jpeg,90.000000,medium_documents,0.002863,0.011673,0.975587,3144,3141,0.999000,jpeg_QF90.0
517,57,qwen2-vl,jpeg,90.000000,short_documents,0.001331,0.008646,0.980927,2254,2254,1.000000,jpeg_QF90.0
518,78,qwen2-vl,jpeg,90.000000,long_documents,0.000640,0.001339,0.998807,4690,4693,1.000600,jpeg_QF90.0
519,31,qwen2-vl,jpeg,90.000000,short_documents,0.006770,0.008658,0.986435,1477,1477,1.000000,jpeg_QF90.0
520,77,qwen2-vl,jpeg,90.000000,medium_documents,0.017842,0.069444,0.905848,2354,2376,1.009300,jpeg_QF90.0
697,110,qwen2-vl,neural,1.000000,long_documents,0.001535,0.007128,0.985956,5863,5861,0.999700,neural_q1.0
521,86,qwen2-vl,jpeg,90.000000,short_documents,0.106277,0.198312,0.731875,1402,1258,0.897300,jpeg_QF90.0
522,82,qwen2-vl,jpeg,90.000000,excluded_short_gt,0.000000,0.000000,1.000000,18,18,1.000000,jpeg_QF90.0
523,73,qwen2-vl,jpeg,90.000000,medium_documents,0.231621,0.436409,0.422973,3795,2957,0.779200,jpeg_QF90.0
524,87,qwen2-vl,jpeg,90.000000,medium_documents,0.000000,0.000000,1.000000,2359,2359,1.000000,jpeg_QF90.0
525,109,qwen2-vl,jpeg,90.000000,long_documents,0.003469,0.024138,0.945206,4036,4035,0.999800,jpeg_QF90.0
526,63,qwen2-vl,jpeg,90.000000,medium_documents,0.000000,0.000000,1.000000,1559,1559,1.000000,jpeg_QF90.0
527,15,qwen2-vl,jpeg,90.000000,long_documents,0.001328,0.003140,0.996463,4519,4519,1.000000,jpeg_QF90.0
528,65,qwen2-vl,jpeg,90.000000,medium_documents,0.001931,0.014354,0.975067,1554,1557,1.001900,jpeg_QF90.0
529,100,qwen2-vl,jpeg,90.000000,medium_documents,0.003648,0.018779,0.970808,2741,2735,0.997800,jpeg_QF90.0
530,83,qwen2-vl,jpeg,90.000000,medium_documents,0.000000,0.000000,1.000000,2099,2099,1.000000,jpeg_QF90.0
531,28,qwen2-vl,jpeg,90.000000,medium_documents,0.035223,0.052224,0.953931,2981,3003,1.007400,jpeg_QF90.0
532,84,qwen2-vl,jpeg,90.000000,short_documents,0.000297,0.001894,0.995710,3362,3363,1.000300,jpeg_QF90.0
533,92,qwen2-vl,jpeg,90.000000,long_documents,0.026652,0.023725,0.974249,5403,5259,0.973300,jpeg_QF90.0
534,17,qwen2-vl,jpeg,90.000000,long_documents,0.000910,0.011331,1.000000,4396,4392,0.999100,jpeg_QF90.0
535,67,qwen2-vl,jpeg,90.000000,excluded_short_gt,0.000000,0.000000,1.000000,314,314,1.000000,jpeg_QF90.0
536,9,qwen2-vl,jpeg,90.000000,medium_documents,0.007896,0.007168,0.994078,3546,3574,1.007900,jpeg_QF90.0
537,46,qwen2-vl,jpeg,90.000000,long_documents,0.000000,0.000000,1.000000,5960,5960,1.000000,jpeg_QF90.0
538,36,qwen2-vl,jpeg,90.000000,medium_documents,0.068691,0.069217,0.931552,3392,3160,0.931600,jpeg_QF90.0
539,4,qwen2-vl,jpeg,90.000000,medium_documents,0.001047,0.014085,0.977922,2864,2861,0.999000,jpeg_QF90.0
540,8,qwen2-vl,jpeg,90.000000,long_documents,0.007436,0.024725,0.952768,4976,4953,0.995400,jpeg_QF90.0
541,48,qwen2-vl,jpeg,90.000000,medium_documents,0.031968,0.037618,0.954876,2221,2217,0.998200,jpeg_QF90.0
542,69,qwen2-vl,jpeg,90.000000,excluded_short_gt,0.000000,0.000000,1.000000,17,17,1.000000,jpeg_QF90.0
543,52,qwen2-vl,jpeg,90.000000,long_documents,0.006022,0.011392,0.981125,5148,5174,1.005100,jpeg_QF90.0
544,68,qwen2-vl,jpeg,90.000000,excluded_short_gt,0.033071,0.066038,0.917319,635,656,1.033100,jpeg_QF90.0
545,42,qwen2-vl,jpeg,90.000000,excluded_short_gt,0.000000,0.000000,1.000000,91,91,1.000000,jpeg_QF90.0
546,26,qwen2-vl,jpeg,90.000000,short_documents,0.000000,0.000000,1.000000,1230,1230,1.000000,jpeg_QF90.0
547,105,qwen2-vl,jpeg,90.000000,medium_documents,0.000000,0.000000,1.000000,1515,1515,1.000000,jpeg_QF90.0
548,50,qwen2-vl,jpeg,90.000000,long_documents,0.003454,0.003750,0.993248,5501,5520,1.003500,jpeg_QF90.0
549,70,qwen2-vl,jpeg,90.000000,medium_documents,0.002825,0.018750,0.954728,2124,2124,1.000000,jpeg_QF90.0
550,32,qwen2-vl,jpeg,90.000000,medium_documents,0.068437,0.089506,0.944921,1958,1984,1.013300,jpeg_QF90.0
